ts_epoch,kind,label,v1,v2
1784800229.204152163,cpu,production-service-production-service-1,0.08,91.4
1784800229.204152163,db,production,3,50000
1784800232.292883909,cpu,production-service-production-service-1,12.34,94.0
1784800232.292883909,db,production,3,50000
1784800235.380081693,cpu,production-service-production-service-1,11.31,94.3
1784800235.380081693,db,production,6,50000
1784800238.464235301,cpu,production-service-production-service-1,13.13,95.4
1784800238.464235301,db,production,3,50000
1784800241.542688115,cpu,production-service-production-service-1,15.71,95.6
1784800241.542688115,db,production,5,50000
1784800244.626584490,cpu,production-service-production-service-1,15.40,95.3
1784800244.626584490,db,production,7,50000
1784800247.707745547,cpu,production-service-production-service-1,21.22,93.5
1784800247.707745547,db,production,6,50000
1784800250.790959694,cpu,production-service-production-service-1,15.38,92.2
1784800250.790959694,db,production,7,50000
1784800253.871613299,cpu,production-service-production-service-1,14.77,92.6
1784800253.871613299,db,production,3,50000
1784800256.947856709,cpu,production-service-production-service-1,17.29,92.8
1784800256.947856709,db,production,7,50000
1784800260.029356736,cpu,production-service-production-service-1,15.12,93.1
1784800260.029356736,db,production,5,50000
1784800263.110947856,cpu,production-service-production-service-1,15.40,92.0
1784800263.110947856,db,production,3,50000
1784800266.195790445,cpu,production-service-production-service-1,14.09,93.4
1784800266.195790445,db,production,7,50000
1784800269.271037518,cpu,production-service-production-service-1,14.80,93.3
1784800269.271037518,db,production,3,50000
1784800272.367715497,cpu,production-service-production-service-1,15.58,94.5
1784800272.367715497,db,production,7,50000
1784800275.441796152,cpu,production-service-production-service-1,15.25,93.9
1784800275.441796152,db,production,5,50000
1784800278.535589545,cpu,production-service-production-service-1,14.73,94.0
1784800278.535589545,db,production,7,50000
1784800281.611096745,cpu,production-service-production-service-1,14.99,93.4
1784800281.611096745,db,production,7,50000
1784800284.688404385,cpu,production-service-production-service-1,14.39,92.1
1784800284.688404385,db,production,7,50000
1784800287.777217434,cpu,production-service-production-service-1,15.15,93.2
1784800287.777217434,db,production,7,50000
1784800290.866259799,cpu,production-service-production-service-1,14.97,93.7
1784800290.866259799,db,production,4,50000
1784800293.949199962,cpu,production-service-production-service-1,14.93,92.4
1784800293.949199962,db,production,7,50000
1784800297.031040962,cpu,production-service-production-service-1,17.72,93.3
1784800297.031040962,db,production,7,50000
1784800300.107865249,cpu,production-service-production-service-1,15.33,94.5
1784800300.107865249,db,production,7,50000
1784800303.187683635,cpu,production-service-production-service-1,15.17,94.1
1784800303.187683635,db,production,3,50000
1784800306.264373132,cpu,production-service-production-service-1,20.59,94.3
1784800306.264373132,db,production,3,50000
1784800309.348204101,cpu,production-service-production-service-1,14.41,95.6
1784800309.348204101,db,production,3,50000
1784800312.431831548,cpu,production-service-production-service-1,15.70,95.8
1784800312.431831548,db,production,7,50000
1784800315.522416056,cpu,production-service-production-service-1,14.20,94.9
1784800315.522416056,db,production,7,50000
1784800318.611752387,cpu,production-service-production-service-1,14.17,95.9
1784800318.611752387,db,production,3,50000
1784800321.693490739,cpu,production-service-production-service-1,14.50,95.0
1784800321.693490739,db,production,7,50000
1784800324.773513722,cpu,production-service-production-service-1,14.65,95.0
1784800324.773513722,db,production,7,50000
1784800327.866387180,cpu,production-service-production-service-1,16.92,95.7
1784800327.866387180,db,production,7,50000
1784800330.953461864,cpu,production-service-production-service-1,15.45,96.3
1784800330.953461864,db,production,2,50000
1784800334.035481084,cpu,production-service-production-service-1,15.21,93.8
1784800334.035481084,db,production,5,50000
1784800337.118421410,cpu,production-service-production-service-1,22.42,92.7
1784800337.118421410,db,production,5,50000
1784800340.201462228,cpu,production-service-production-service-1,13.95,94.3
1784800340.201462228,db,production,7,50000
1784800343.286428413,cpu,production-service-production-service-1,14.02,94.7
1784800343.286428413,db,production,5,50000
1784800346.368459588,cpu,production-service-production-service-1,15.49,95.2
1784800346.368459588,db,production,5,50000
1784800349.452124685,cpu,production-service-production-service-1,15.20,94.2
1784800349.452124685,db,production,5,50000
1784800352.534652494,cpu,production-service-production-service-1,14.32,95.2
1784800352.534652494,db,production,7,50000
1784800355.618427785,cpu,production-service-production-service-1,14.66,94.1
1784800355.618427785,db,production,7,50000
1784800358.696405315,cpu,production-service-production-service-1,15.13,94.2
1784800358.696405315,db,production,3,50000
1784800361.764720883,cpu,production-service-production-service-1,16.27,93.4
1784800361.764720883,db,production,7,50000
1784800364.842467096,cpu,production-service-production-service-1,15.09,92.9
1784800364.842467096,db,production,5,50000
1784800367.920681448,cpu,production-service-production-service-1,16.44,93.1
1784800367.920681448,db,production,5,50000
1784800370.995666208,cpu,production-service-production-service-1,20.33,92.3
1784800370.995666208,db,production,3,50000
1784800374.080013237,cpu,production-service-production-service-1,15.06,92.5
1784800374.080013237,db,production,3,50000
1784800377.170886801,cpu,production-service-production-service-1,16.95,94.8
1784800377.170886801,db,production,5,50000
1784800380.249344794,cpu,production-service-production-service-1,13.97,94.4
1784800380.249344794,db,production,7,50000
1784800383.327946502,cpu,production-service-production-service-1,14.20,93.7
1784800383.327946502,db,production,3,50000
1784800386.404963805,cpu,production-service-production-service-1,14.88,93.6
1784800386.404963805,db,production,5,50000
1784800389.483744223,cpu,production-service-production-service-1,14.35,93.5
1784800389.483744223,db,production,7,50000
1784800392.562737654,cpu,production-service-production-service-1,15.02,94.3
1784800392.562737654,db,production,7,50000
1784800395.651232664,cpu,production-service-production-service-1,14.73,92.6
1784800395.651232664,db,production,5,50000
1784800398.739348139,cpu,production-service-production-service-1,13.39,93.5
1784800398.739348139,db,production,5,50000
1784800401.816387113,cpu,production-service-production-service-1,14.57,92.8
1784800401.816387113,db,production,5,50000
1784800404.894569491,cpu,production-service-production-service-1,14.91,94.2
1784800404.894569491,db,production,5,50000
1784800407.984379357,cpu,production-service-production-service-1,16.29,91.6
1784800407.984379357,db,production,5,50000
1784800411.061725032,cpu,production-service-production-service-1,15.35,92.2
1784800411.061725032,db,production,5,50000
1784800414.150474857,cpu,production-service-production-service-1,15.03,91.0
1784800414.150474857,db,production,7,50000
1784800417.234910303,cpu,production-service-production-service-1,14.60,92.1
1784800417.234910303,db,production,3,50000
1784800420.320183586,cpu,production-service-production-service-1,15.13,94.2
1784800420.320183586,db,production,7,50000
1784800423.409128680,cpu,production-service-production-service-1,14.53,95.1
1784800423.409128680,db,production,5,50000
1784800426.485127304,cpu,production-service-production-service-1,14.63,94.5
1784800426.485127304,db,production,7,50000
1784800429.562549006,cpu,production-service-production-service-1,15.58,92.1
1784800429.562549006,db,production,7,50000
1784800432.637886158,cpu,production-service-production-service-1,15.05,92.0
1784800432.637886158,db,production,7,50000
1784800435.723901135,cpu,production-service-production-service-1,14.91,92.9
1784800435.723901135,db,production,5,50000
1784800438.811700816,cpu,production-service-production-service-1,14.64,92.7
1784800438.811700816,db,production,5,50000
1784800441.906976821,cpu,production-service-production-service-1,15.01,93.4
1784800441.906976821,db,production,3,50000
1784800445.001923418,cpu,production-service-production-service-1,14.61,93.2
1784800445.001923418,db,production,7,50000
1784800448.089739757,cpu,production-service-production-service-1,16.81,92.9
1784800448.089739757,db,production,7,50000
1784800451.179303446,cpu,production-service-production-service-1,14.87,93.8
1784800451.179303446,db,production,7,50000
1784800454.271933920,cpu,production-service-production-service-1,14.60,93.7
1784800454.271933920,db,production,5,50000
1784800457.347614915,cpu,production-service-production-service-1,20.57,93.9
1784800457.347614915,db,production,7,50000
1784800460.433771326,cpu,production-service-production-service-1,14.02,92.2
1784800460.433771326,db,production,7,50000
1784800463.524791259,cpu,production-service-production-service-1,12.90,92.4
1784800463.524791259,db,production,5,50000
1784800466.603889232,cpu,production-service-production-service-1,14.28,91.5
1784800466.603889232,db,production,3,50000
1784800469.692127560,cpu,production-service-production-service-1,14.23,93.0
1784800469.692127560,db,production,5,50000
1784800472.762551664,cpu,production-service-production-service-1,21.41,94.2
1784800472.762551664,db,production,3,50000
