ts_epoch,kind,label,v1,v2
1784799967.800183308,cpu,order-service-order-service-1,0.01,97.0
1784799967.800183308,db,order,3,50000
1784799970.888782496,cpu,order-service-order-service-1,10.86,100.0
1784799970.888782496,db,order,3,50000
1784799973.985995887,cpu,order-service-order-service-1,9.55,99.5
1784799973.985995887,db,order,3,50000
1784799977.072993976,cpu,order-service-order-service-1,14.19,98.5
1784799977.072993976,db,order,3,50000
1784799980.153825577,cpu,order-service-order-service-1,11.99,98.8
1784799980.153825577,db,order,3,50000
1784799983.247023667,cpu,order-service-order-service-1,9.51,99.6
1784799983.247023667,db,order,3,50000
1784799986.332813178,cpu,order-service-order-service-1,12.31,100.7
1784799986.332813178,db,order,3,50000
1784799989.410766530,cpu,order-service-order-service-1,9.39,98.7
1784799989.410766530,db,order,3,50000
1784799992.493050984,cpu,order-service-order-service-1,13.43,98.7
1784799992.493050984,db,order,3,50000
1784799995.571884643,cpu,order-service-order-service-1,14.44,98.4
1784799995.571884643,db,order,3,50000
1784799998.653741626,cpu,order-service-order-service-1,13.71,98.5
1784799998.653741626,db,order,3,50000
1784800001.734894137,cpu,order-service-order-service-1,12.22,98.9
1784800001.734894137,db,order,3,50000
1784800004.815139371,cpu,order-service-order-service-1,23.86,98.1
1784800004.815139371,db,order,3,50000
1784800007.894981987,cpu,order-service-order-service-1,12.12,98.5
1784800007.894981987,db,order,3,50000
1784800010.982077531,cpu,order-service-order-service-1,14.00,99.3
1784800010.982077531,db,order,3,50000
1784800014.063134868,cpu,order-service-order-service-1,12.25,99.3
1784800014.063134868,db,order,3,50000
1784800017.151351037,cpu,order-service-order-service-1,15.80,100.2
1784800017.151351037,db,order,3,50000
1784800020.233689525,cpu,order-service-order-service-1,11.27,101.0
1784800020.233689525,db,order,3,50000
1784800023.315097498,cpu,order-service-order-service-1,12.84,97.9
1784800023.315097498,db,order,3,50000
1784800026.393273249,cpu,order-service-order-service-1,12.17,98.4
1784800026.393273249,db,order,3,50000
1784800029.484854457,cpu,order-service-order-service-1,12.42,98.4
1784800029.484854457,db,order,3,50000
1784800032.574288404,cpu,order-service-order-service-1,12.85,97.5
1784800032.574288404,db,order,3,50000
1784800035.653724801,cpu,order-service-order-service-1,13.21,99.0
1784800035.653724801,db,order,3,50000
1784800038.751978815,cpu,order-service-order-service-1,12.55,98.1
1784800038.751978815,db,order,3,50000
1784800041.833319089,cpu,order-service-order-service-1,12.64,99.3
1784800041.833319089,db,order,3,50000
1784800044.921492448,cpu,order-service-order-service-1,12.82,100.0
1784800044.921492448,db,order,3,50000
1784800047.999223916,cpu,order-service-order-service-1,13.89,99.2
1784800047.999223916,db,order,4,50000
1784800051.082966614,cpu,order-service-order-service-1,13.62,99.9
1784800051.082966614,db,order,4,50000
1784800054.164012336,cpu,order-service-order-service-1,24.67,100.0
1784800054.164012336,db,order,4,50000
1784800057.250987348,cpu,order-service-order-service-1,15.01,99.2
1784800057.250987348,db,order,3,50000
1784800060.333456681,cpu,order-service-order-service-1,14.33,99.6
1784800060.333456681,db,order,3,50000
1784800063.408895425,cpu,order-service-order-service-1,13.22,98.8
1784800063.408895425,db,order,3,50000
1784800066.496698128,cpu,order-service-order-service-1,13.28,99.6
1784800066.496698128,db,order,3,50000
1784800069.586112205,cpu,order-service-order-service-1,12.67,101.1
1784800069.586112205,db,order,3,50000
1784800072.666706910,cpu,order-service-order-service-1,13.94,100.5
1784800072.666706910,db,order,3,50000
1784800075.754223897,cpu,order-service-order-service-1,13.65,100.2
1784800075.754223897,db,order,3,50000
1784800078.831465372,cpu,order-service-order-service-1,13.33,100.7
1784800078.831465372,db,order,3,50000
1784800081.925349539,cpu,order-service-order-service-1,11.25,99.2
1784800081.925349539,db,order,3,50000
1784800085.004507783,cpu,order-service-order-service-1,11.37,101.1
1784800085.004507783,db,order,3,50000
1784800088.089326827,cpu,order-service-order-service-1,12.77,99.6
1784800088.089326827,db,order,3,50000
1784800091.175900210,cpu,order-service-order-service-1,13.71,100.0
1784800091.175900210,db,order,3,50000
1784800094.268233744,cpu,order-service-order-service-1,13.82,99.0
1784800094.268233744,db,order,3,50000
1784800097.351727367,cpu,order-service-order-service-1,14.44,100.1
1784800097.351727367,db,order,3,50000
1784800100.432783505,cpu,order-service-order-service-1,12.90,100.4
1784800100.432783505,db,order,3,50000
1784800103.513319447,cpu,order-service-order-service-1,26.68,99.0
1784800103.513319447,db,order,3,50000
1784800106.598190935,cpu,order-service-order-service-1,12.77,99.5
1784800106.598190935,db,order,3,50000
1784800109.690453926,cpu,order-service-order-service-1,13.66,99.6
1784800109.690453926,db,order,3,50000
1784800112.776245683,cpu,order-service-order-service-1,13.67,99.3
1784800112.776245683,db,order,3,50000
1784800115.853118705,cpu,order-service-order-service-1,13.23,100.5
1784800115.853118705,db,order,3,50000
1784800118.936380978,cpu,order-service-order-service-1,11.03,101.1
1784800118.936380978,db,order,3,50000
1784800122.017937800,cpu,order-service-order-service-1,12.66,99.2
1784800122.017937800,db,order,3,50000
1784800125.095852548,cpu,order-service-order-service-1,9.98,101.0
1784800125.095852548,db,order,3,50000
1784800128.180666111,cpu,order-service-order-service-1,10.54,101.1
1784800128.180666111,db,order,3,50000
1784800131.275003636,cpu,order-service-order-service-1,11.30,101.5
1784800131.275003636,db,order,3,50000
1784800134.353576587,cpu,order-service-order-service-1,9.81,101.3
1784800134.353576587,db,order,3,50000
1784800137.439688034,cpu,order-service-order-service-1,13.81,100.1
1784800137.439688034,db,order,3,50000
1784800140.529249787,cpu,order-service-order-service-1,10.70,98.8
1784800140.529249787,db,order,3,50000
1784800143.614391996,cpu,order-service-order-service-1,0.00,98.4
1784800143.614391996,db,order,3,50000
1784800146.698154597,cpu,order-service-order-service-1,0.04,98.0
1784800146.698154597,db,order,3,50000
1784800149.780140261,cpu,order-service-order-service-1,0.01,98.7
1784800149.780140261,db,order,3,50000
1784800152.870262435,cpu,order-service-order-service-1,0.01,98.0
1784800152.870262435,db,order,3,50000
1784800155.958874680,cpu,order-service-order-service-1,0.02,98.0
1784800155.958874680,db,order,3,50000
1784800159.054419832,cpu,order-service-order-service-1,0.01,98.6
1784800159.054419832,db,order,3,50000
1784800162.140109619,cpu,order-service-order-service-1,0.01,98.0
1784800162.140109619,db,order,3,50000
1784800165.236213137,cpu,order-service-order-service-1,0.01,97.8
1784800165.236213137,db,order,3,50000
1784800168.325498313,cpu,order-service-order-service-1,0.01,98.2
1784800168.325498313,db,order,3,50000
1784800171.413083753,cpu,order-service-order-service-1,0.05,98.4
1784800171.413083753,db,order,3,50000
1784800174.503824054,cpu,order-service-order-service-1,0.01,98.2
1784800174.503824054,db,order,3,50000
1784800177.586904786,cpu,order-service-order-service-1,1.79,98.8
1784800177.586904786,db,order,3,50000
1784800180.680186960,cpu,order-service-order-service-1,0.01,98.7
1784800180.680186960,db,order,3,50000
1784800183.767462195,cpu,order-service-order-service-1,0.01,98.3
1784800183.767462195,db,order,3,50000
1784800186.855036925,cpu,order-service-order-service-1,0.04,97.9
1784800186.855036925,db,order,3,50000
1784800189.933428532,cpu,order-service-order-service-1,0.01,99.2
1784800189.933428532,db,order,3,50000
1784800193.010978396,cpu,order-service-order-service-1,0.01,98.6
1784800193.010978396,db,order,3,50000
1784800196.105144893,cpu,order-service-order-service-1,0.04,98.4
1784800196.105144893,db,order,3,50000
1784800199.191352474,cpu,order-service-order-service-1,0.01,99.2
1784800199.191352474,db,order,3,50000
1784800202.283051528,cpu,order-service-order-service-1,0.01,98.7
1784800202.283051528,db,order,3,50000
