ts_epoch,kind,label,v1,v2
1784799230.895273061,cpu,order-service-order-service-1,0.00,91.8
1784799230.895273061,db,order,3,50000
1784799233.975868774,cpu,order-service-order-service-1,15.24,95.2
1784799233.975868774,db,order,3,50000
1784799237.094874727,cpu,order-service-order-service-1,10.75,94.0
1784799237.094874727,db,order,3,50000
1784799240.182736282,cpu,order-service-order-service-1,13.64,94.6
1784799240.182736282,db,order,3,50000
1784799243.274492157,cpu,order-service-order-service-1,14.76,95.0
1784799243.274492157,db,order,3,50000
1784799246.359810644,cpu,order-service-order-service-1,13.82,96.0
1784799246.359810644,db,order,3,50000
1784799249.441918900,cpu,order-service-order-service-1,19.76,94.4
1784799249.441918900,db,order,3,50000
1784799252.524679102,cpu,order-service-order-service-1,12.67,94.8
1784799252.524679102,db,order,3,50000
1784799255.609898626,cpu,order-service-order-service-1,12.48,94.4
1784799255.609898626,db,order,3,50000
1784799258.691547705,cpu,order-service-order-service-1,12.25,96.7
1784799258.691547705,db,order,3,50000
1784799261.782118364,cpu,order-service-order-service-1,13.15,96.6
1784799261.782118364,db,order,3,50000
1784799264.868096960,cpu,order-service-order-service-1,20.98,96.7
1784799264.868096960,db,order,3,50000
1784799267.955816360,cpu,order-service-order-service-1,13.31,94.2
1784799267.955816360,db,order,3,50000
1784799271.041337667,cpu,order-service-order-service-1,13.28,94.6
1784799271.041337667,db,order,3,50000
1784799274.135140009,cpu,order-service-order-service-1,17.06,94.9
1784799274.135140009,db,order,3,50000
1784799277.233999214,cpu,order-service-order-service-1,12.28,95.7
1784799277.233999214,db,order,3,50000
1784799280.322041740,cpu,order-service-order-service-1,18.85,95.4
1784799280.322041740,db,order,3,50000
1784799283.401336469,cpu,order-service-order-service-1,13.62,95.7
1784799283.401336469,db,order,3,50000
1784799286.480485094,cpu,order-service-order-service-1,12.64,95.1
1784799286.480485094,db,order,3,50000
1784799289.567081785,cpu,order-service-order-service-1,12.52,95.4
1784799289.567081785,db,order,3,50000
1784799292.656249904,cpu,order-service-order-service-1,13.25,96.0
1784799292.656249904,db,order,3,50000
1784799295.745291172,cpu,order-service-order-service-1,18.77,94.9
1784799295.745291172,db,order,3,50000
1784799298.827199228,cpu,order-service-order-service-1,13.44,95.6
1784799298.827199228,db,order,3,50000
1784799301.910926612,cpu,order-service-order-service-1,11.62,95.8
1784799301.910926612,db,order,3,50000
1784799304.991466918,cpu,order-service-order-service-1,13.17,95.0
1784799304.991466918,db,order,3,50000
1784799308.070926282,cpu,order-service-order-service-1,14.30,95.1
1784799308.070926282,db,order,3,50000
1784799311.157584842,cpu,order-service-order-service-1,13.77,95.6
1784799311.157584842,db,order,3,50000
1784799314.251865493,cpu,order-service-order-service-1,15.13,95.0
1784799314.251865493,db,order,3,50000
1784799317.342199270,cpu,order-service-order-service-1,13.31,94.8
1784799317.342199270,db,order,3,50000
1784799320.425768580,cpu,order-service-order-service-1,12.23,95.3
1784799320.425768580,db,order,3,50000
1784799323.508913109,cpu,order-service-order-service-1,13.57,95.0
1784799323.508913109,db,order,3,50000
1784799326.599467726,cpu,order-service-order-service-1,13.02,96.4
1784799326.599467726,db,order,4,50000
1784799329.672829708,cpu,order-service-order-service-1,14.49,94.0
1784799329.672829708,db,order,4,50000
1784799332.760814493,cpu,order-service-order-service-1,13.34,94.0
1784799332.760814493,db,order,4,50000
1784799335.857239609,cpu,order-service-order-service-1,13.54,94.3
1784799335.857239609,db,order,3,50000
1784799338.948119166,cpu,order-service-order-service-1,13.20,94.6
1784799338.948119166,db,order,3,50000
1784799342.036881065,cpu,order-service-order-service-1,13.51,95.0
1784799342.036881065,db,order,3,50000
1784799345.120840642,cpu,order-service-order-service-1,14.69,94.2
1784799345.120840642,db,order,3,50000
1784799348.207821649,cpu,order-service-order-service-1,13.22,94.3
1784799348.207821649,db,order,3,50000
1784799351.294979207,cpu,order-service-order-service-1,13.17,94.1
1784799351.294979207,db,order,3,50000
1784799354.384325842,cpu,order-service-order-service-1,15.17,94.6
1784799354.384325842,db,order,3,50000
1784799357.472530489,cpu,order-service-order-service-1,12.57,95.0
1784799357.472530489,db,order,3,50000
1784799360.555589976,cpu,order-service-order-service-1,18.50,93.9
1784799360.555589976,db,order,3,50000
1784799363.637154699,cpu,order-service-order-service-1,14.78,93.8
1784799363.637154699,db,order,3,50000
1784799366.719379310,cpu,order-service-order-service-1,13.16,95.6
1784799366.719379310,db,order,3,50000
1784799369.811854521,cpu,order-service-order-service-1,12.68,93.9
1784799369.811854521,db,order,3,50000
1784799372.900388629,cpu,order-service-order-service-1,14.15,94.3
1784799372.900388629,db,order,3,50000
1784799375.979239984,cpu,order-service-order-service-1,14.64,92.4
1784799375.979239984,db,order,3,50000
1784799379.064342867,cpu,order-service-order-service-1,13.65,93.4
1784799379.064342867,db,order,3,50000
1784799382.150279001,cpu,order-service-order-service-1,14.23,95.8
1784799382.150279001,db,order,3,50000
1784799385.237303852,cpu,order-service-order-service-1,13.42,96.4
1784799385.237303852,db,order,3,50000
1784799388.327929812,cpu,order-service-order-service-1,12.52,95.4
1784799388.327929812,db,order,3,50000
1784799391.415260346,cpu,order-service-order-service-1,19.99,94.8
1784799391.415260346,db,order,3,50000
1784799394.489858841,cpu,order-service-order-service-1,14.25,95.6
1784799394.489858841,db,order,3,50000
1784799397.572291427,cpu,order-service-order-service-1,13.04,95.7
1784799397.572291427,db,order,3,50000
1784799400.660243346,cpu,order-service-order-service-1,15.33,95.7
1784799400.660243346,db,order,3,50000
1784799403.741167153,cpu,order-service-order-service-1,13.88,96.3
1784799403.741167153,db,order,3,50000
1784799406.821358152,cpu,order-service-order-service-1,20.56,96.6
1784799406.821358152,db,order,3,50000
1784799409.910477827,cpu,order-service-order-service-1,11.81,96.5
1784799409.910477827,db,order,3,50000
1784799412.994888377,cpu,order-service-order-service-1,13.73,97.3
1784799412.994888377,db,order,3,50000
1784799416.077483958,cpu,order-service-order-service-1,13.22,97.4
1784799416.077483958,db,order,3,50000
1784799419.166922007,cpu,order-service-order-service-1,11.80,96.0
1784799419.166922007,db,order,3,50000
1784799422.255876962,cpu,order-service-order-service-1,24.17,89.0
1784799422.255876962,db,order,2,50000
1784799425.345102962,cpu,order-service-order-service-1,11.82,94.5
1784799425.345102962,db,order,3,50000
1784799428.422793382,cpu,order-service-order-service-1,12.86,94.5
1784799428.422793382,db,order,3,50000
1784799431.502251048,cpu,order-service-order-service-1,12.79,95.8
1784799431.502251048,db,order,3,50000
1784799434.585545943,cpu,order-service-order-service-1,15.41,95.7
1784799434.585545943,db,order,3,50000
1784799437.660365177,cpu,order-service-order-service-1,19.63,95.4
1784799437.660365177,db,order,3,50000
1784799440.749720060,cpu,order-service-order-service-1,10.91,94.7
1784799440.749720060,db,order,3,50000
1784799443.826883039,cpu,order-service-order-service-1,13.62,94.9
1784799443.826883039,db,order,3,50000
1784799446.908916932,cpu,order-service-order-service-1,13.38,95.5
1784799446.908916932,db,order,3,50000
1784799449.991433811,cpu,order-service-order-service-1,12.77,95.8
1784799449.991433811,db,order,3,50000
1784799453.086664488,cpu,order-service-order-service-1,12.05,95.9
1784799453.086664488,db,order,3,50000
1784799456.167887620,cpu,order-service-order-service-1,12.61,94.8
1784799456.167887620,db,order,3,50000
1784799459.252472807,cpu,order-service-order-service-1,14.16,95.4
1784799459.252472807,db,order,3,50000
1784799462.332161525,cpu,order-service-order-service-1,11.79,94.9
1784799462.332161525,db,order,3,50000
1784799465.409807236,cpu,order-service-order-service-1,12.41,96.0
1784799465.409807236,db,order,3,50000
1784799468.494637118,cpu,order-service-order-service-1,12.36,96.6
1784799468.494637118,db,order,3,50000
1784799471.577834312,cpu,order-service-order-service-1,13.32,95.9
1784799471.577834312,db,order,3,50000
1784799474.665110464,cpu,order-service-order-service-1,15.39,97.3
1784799474.665110464,db,order,3,50000
1784799477.739229541,cpu,order-service-order-service-1,12.86,96.7
1784799477.739229541,db,order,3,50000
1784799480.826006898,cpu,order-service-order-service-1,11.99,97.6
1784799480.826006898,db,order,3,50000
1784799483.912276297,cpu,order-service-order-service-1,12.34,96.8
1784799483.912276297,db,order,3,50000
1784799486.987481948,cpu,order-service-order-service-1,13.74,95.4
1784799486.987481948,db,order,3,50000
1784799490.068036539,cpu,order-service-order-service-1,11.69,96.2
1784799490.068036539,db,order,3,50000
1784799493.154345665,cpu,order-service-order-service-1,12.80,95.4
1784799493.154345665,db,order,3,50000
1784799496.229375865,cpu,order-service-order-service-1,12.64,96.5
1784799496.229375865,db,order,3,50000
1784799499.317937834,cpu,order-service-order-service-1,14.58,98.3
1784799499.317937834,db,order,3,50000
1784799502.398803556,cpu,order-service-order-service-1,22.06,96.2
1784799502.398803556,db,order,3,50000
1784799505.478381867,cpu,order-service-order-service-1,12.90,97.9
1784799505.478381867,db,order,3,50000
1784799508.570214908,cpu,order-service-order-service-1,13.46,97.6
1784799508.570214908,db,order,3,50000
1784799511.645122463,cpu,order-service-order-service-1,12.92,98.4
1784799511.645122463,db,order,3,50000
1784799514.723877301,cpu,order-service-order-service-1,14.46,98.8
1784799514.723877301,db,order,3,50000
1784799517.806110229,cpu,order-service-order-service-1,25.23,94.9
1784799517.806110229,db,order,3,50000
1784799520.894360470,cpu,order-service-order-service-1,13.34,95.7
1784799520.894360470,db,order,3,50000
1784799523.971516186,cpu,order-service-order-service-1,14.91,97.4
1784799523.971516186,db,order,3,50000
1784799527.054416672,cpu,order-service-order-service-1,12.62,97.0
1784799527.054416672,db,order,3,50000
1784799530.134402277,cpu,order-service-order-service-1,13.14,97.1
1784799530.134402277,db,order,3,50000
1784799533.231826038,cpu,order-service-order-service-1,14.22,97.7
1784799533.231826038,db,order,2,50000
1784799536.323446522,cpu,order-service-order-service-1,14.52,96.8
1784799536.323446522,db,order,3,50000
1784799539.413259059,cpu,order-service-order-service-1,12.57,97.3
1784799539.413259059,db,order,3,50000
1784799542.500016389,cpu,order-service-order-service-1,11.56,98.0
1784799542.500016389,db,order,3,50000
1784799545.581135080,cpu,order-service-order-service-1,13.17,97.4
1784799545.581135080,db,order,3,50000
1784799548.657660955,cpu,order-service-order-service-1,11.99,98.2
1784799548.657660955,db,order,3,50000
1784799551.744012293,cpu,order-service-order-service-1,13.32,97.3
1784799551.744012293,db,order,3,50000
1784799554.830176625,cpu,order-service-order-service-1,14.75,97.4
1784799554.830176625,db,order,3,50000
1784799557.905514165,cpu,order-service-order-service-1,12.55,98.3
1784799557.905514165,db,order,3,50000
1784799560.992176315,cpu,order-service-order-service-1,14.82,97.3
1784799560.992176315,db,order,3,50000
1784799564.075400061,cpu,order-service-order-service-1,12.18,98.5
1784799564.075400061,db,order,3,50000
1784799567.162778838,cpu,order-service-order-service-1,12.98,96.6
1784799567.162778838,db,order,3,50000
1784799570.244578127,cpu,order-service-order-service-1,11.91,96.7
1784799570.244578127,db,order,3,50000
1784799573.326271585,cpu,order-service-order-service-1,13.04,96.0
1784799573.326271585,db,order,3,50000
1784799576.414433849,cpu,order-service-order-service-1,13.87,96.1
1784799576.414433849,db,order,3,50000
1784799579.498178809,cpu,order-service-order-service-1,11.36,97.0
1784799579.498178809,db,order,3,50000
1784799582.580536344,cpu,order-service-order-service-1,23.25,95.8
1784799582.580536344,db,order,3,50000
1784799585.659288128,cpu,order-service-order-service-1,11.07,96.0
1784799585.659288128,db,order,3,50000
1784799588.738323615,cpu,order-service-order-service-1,11.46,97.8
1784799588.738323615,db,order,3,50000
1784799591.817983570,cpu,order-service-order-service-1,13.29,98.4
1784799591.817983570,db,order,3,50000
1784799594.907492734,cpu,order-service-order-service-1,15.27,99.5
1784799594.907492734,db,order,3,50000
1784799597.981909638,cpu,order-service-order-service-1,13.58,100.1
1784799597.981909638,db,order,3,50000
1784799601.071256778,cpu,order-service-order-service-1,13.97,96.1
1784799601.071256778,db,order,3,50000
1784799604.154329070,cpu,order-service-order-service-1,14.80,97.2
1784799604.154329070,db,order,3,50000
1784799607.235495238,cpu,order-service-order-service-1,12.72,96.2
1784799607.235495238,db,order,3,50000
1784799610.313187543,cpu,order-service-order-service-1,14.74,96.6
1784799610.313187543,db,order,3,50000
1784799613.405353688,cpu,order-service-order-service-1,13.78,98.1
1784799613.405353688,db,order,3,50000
1784799616.493290916,cpu,order-service-order-service-1,12.68,98.6
1784799616.493290916,db,order,3,50000
1784799619.579835546,cpu,order-service-order-service-1,13.24,98.6
1784799619.579835546,db,order,3,50000
1784799622.659116670,cpu,order-service-order-service-1,12.65,98.8
1784799622.659116670,db,order,3,50000
1784799625.745061253,cpu,order-service-order-service-1,16.22,99.3
1784799625.745061253,db,order,3,50000
1784799628.825393329,cpu,order-service-order-service-1,12.70,96.1
1784799628.825393329,db,order,3,50000
1784799631.904162292,cpu,order-service-order-service-1,11.15,95.3
1784799631.904162292,db,order,3,50000
1784799634.993386812,cpu,order-service-order-service-1,14.16,96.2
1784799634.993386812,db,order,3,50000
1784799638.081558930,cpu,order-service-order-service-1,13.26,95.5
1784799638.081558930,db,order,3,50000
1784799641.156176376,cpu,order-service-order-service-1,12.16,95.5
1784799641.156176376,db,order,3,50000
1784799644.237219230,cpu,order-service-order-service-1,13.62,96.0
1784799644.237219230,db,order,3,50000
1784799647.320149647,cpu,order-service-order-service-1,12.50,95.6
1784799647.320149647,db,order,3,50000
1784799650.406968022,cpu,order-service-order-service-1,9.16,97.3
1784799650.406968022,db,order,3,50000
1784799653.497313370,cpu,order-service-order-service-1,11.17,98.0
1784799653.497313370,db,order,3,50000
1784799656.580869178,cpu,order-service-order-service-1,13.37,96.7
1784799656.580869178,db,order,3,50000
1784799659.663595665,cpu,order-service-order-service-1,12.92,97.7
1784799659.663595665,db,order,3,50000
1784799662.741769932,cpu,order-service-order-service-1,10.84,97.1
1784799662.741769932,db,order,3,50000
1784799665.820883994,cpu,order-service-order-service-1,11.70,96.8
1784799665.820883994,db,order,3,50000
1784799668.911221643,cpu,order-service-order-service-1,12.24,96.8
1784799668.911221643,db,order,3,50000
1784799671.999283684,cpu,order-service-order-service-1,11.47,97.5
1784799671.999283684,db,order,3,50000
1784799675.090229877,cpu,order-service-order-service-1,15.29,97.4
1784799675.090229877,db,order,3,50000
1784799678.171704207,cpu,order-service-order-service-1,11.79,99.9
1784799678.171704207,db,order,3,50000
1784799681.247782102,cpu,order-service-order-service-1,27.61,98.2
1784799681.247782102,db,order,3,50000
1784799684.332199951,cpu,order-service-order-service-1,11.19,99.5
1784799684.332199951,db,order,3,50000
1784799687.415533211,cpu,order-service-order-service-1,13.93,99.6
1784799687.415533211,db,order,3,50000
1784799690.497911508,cpu,order-service-order-service-1,13.24,96.6
1784799690.497911508,db,order,3,50000
1784799693.580523391,cpu,order-service-order-service-1,13.29,97.8
1784799693.580523391,db,order,3,50000
1784799696.677259034,cpu,order-service-order-service-1,12.05,98.6
1784799696.677259034,db,order,3,50000
1784799699.757999000,cpu,order-service-order-service-1,11.54,97.1
1784799699.757999000,db,order,3,50000
1784799702.843073684,cpu,order-service-order-service-1,13.45,98.2
1784799702.843073684,db,order,3,50000
1784799705.928887514,cpu,order-service-order-service-1,16.47,97.2
1784799705.928887514,db,order,3,50000
1784799709.016428499,cpu,order-service-order-service-1,13.56,97.7
1784799709.016428499,db,order,3,50000
1784799712.098128164,cpu,order-service-order-service-1,14.09,98.6
1784799712.098128164,db,order,3,50000
1784799715.179445452,cpu,order-service-order-service-1,16.05,96.1
1784799715.179445452,db,order,3,50000
1784799718.262591027,cpu,order-service-order-service-1,14.28,94.9
1784799718.262591027,db,order,3,50000
1784799721.347633092,cpu,order-service-order-service-1,13.63,94.5
1784799721.347633092,db,order,3,50000
1784799724.431788209,cpu,order-service-order-service-1,14.94,95.7
1784799724.431788209,db,order,3,50000
1784799727.525072595,cpu,order-service-order-service-1,14.76,97.2
