ts_epoch,kind,label,v1,v2
1784799231.281065643,cpu,production-service-production-service-1,0.01,92.0
1784799231.281065643,db,production,3,50000
1784799234.363791552,cpu,production-service-production-service-1,19.39,95.0
1784799234.363791552,db,production,3,50000
1784799237.445236998,cpu,production-service-production-service-1,15.85,93.3
1784799237.445236998,db,production,7,50000
1784799240.532182465,cpu,production-service-production-service-1,17.60,93.1
1784799240.532182465,db,production,5,50000
1784799243.621394810,cpu,production-service-production-service-1,15.34,93.4
1784799243.621394810,db,production,7,50000
1784799246.716804359,cpu,production-service-production-service-1,20.83,93.2
1784799246.716804359,db,production,3,50000
1784799249.794532848,cpu,production-service-production-service-1,15.64,91.7
1784799249.794532848,db,production,5,50000
1784799252.870563107,cpu,production-service-production-service-1,15.31,91.5
1784799252.870563107,db,production,5,50000
1784799255.962977893,cpu,production-service-production-service-1,14.71,91.8
1784799255.962977893,db,production,5,50000
1784799259.052060576,cpu,production-service-production-service-1,14.06,92.6
1784799259.052060576,db,production,7,50000
1784799262.129579397,cpu,production-service-production-service-1,20.60,92.4
1784799262.129579397,db,production,5,50000
1784799265.213761722,cpu,production-service-production-service-1,15.13,93.0
1784799265.213761722,db,production,5,50000
1784799268.296111088,cpu,production-service-production-service-1,15.34,92.5
1784799268.296111088,db,production,5,50000
1784799271.373994529,cpu,production-service-production-service-1,16.79,92.8
1784799271.373994529,db,production,5,50000
1784799274.458946645,cpu,production-service-production-service-1,15.38,93.4
1784799274.458946645,db,production,3,50000
1784799277.546397906,cpu,production-service-production-service-1,15.39,94.2
1784799277.546397906,db,production,3,50000
1784799280.626553958,cpu,production-service-production-service-1,15.88,96.4
1784799280.626553958,db,production,3,50000
1784799283.710348555,cpu,production-service-production-service-1,14.44,95.3
1784799283.710348555,db,production,3,50000
1784799286.784756569,cpu,production-service-production-service-1,15.48,95.5
1784799286.784756569,db,production,7,50000
1784799289.870991557,cpu,production-service-production-service-1,14.81,92.1
1784799289.870991557,db,production,7,50000
1784799292.951557598,cpu,production-service-production-service-1,15.04,92.3
1784799292.951557598,db,production,3,50000
1784799296.042300212,cpu,production-service-production-service-1,15.03,91.6
1784799296.042300212,db,production,5,50000
1784799299.126847007,cpu,production-service-production-service-1,14.29,93.1
1784799299.126847007,db,production,6,50000
1784799302.224986665,cpu,production-service-production-service-1,15.30,93.5
1784799302.224986665,db,production,5,50000
1784799305.304835284,cpu,production-service-production-service-1,15.23,93.5
1784799305.304835284,db,production,5,50000
1784799308.397814578,cpu,production-service-production-service-1,15.17,95.9
1784799308.397814578,db,production,6,50000
1784799311.481651986,cpu,production-service-production-service-1,22.76,92.7
1784799311.481651986,db,production,7,50000
1784799314.565384369,cpu,production-service-production-service-1,15.42,92.4
1784799314.565384369,db,production,7,50000
1784799317.650907847,cpu,production-service-production-service-1,15.19,92.7
1784799317.650907847,db,production,3,50000
1784799320.730097706,cpu,production-service-production-service-1,14.72,93.1
1784799320.730097706,db,production,7,50000
1784799323.803709247,cpu,production-service-production-service-1,15.42,92.6
1784799323.803709247,db,production,7,50000
1784799326.894934762,cpu,production-service-production-service-1,15.38,93.7
1784799326.894934762,db,production,5,50000
1784799329.980675328,cpu,production-service-production-service-1,15.08,92.2
1784799329.980675328,db,production,5,50000
1784799333.077678861,cpu,production-service-production-service-1,15.19,92.5
1784799333.077678861,db,production,3,50000
1784799336.162580807,cpu,production-service-production-service-1,14.96,91.8
1784799336.162580807,db,production,7,50000
1784799339.244890136,cpu,production-service-production-service-1,14.56,92.1
1784799339.244890136,db,production,7,50000
1784799342.329009538,cpu,production-service-production-service-1,15.28,92.6
1784799342.329009538,db,production,5,50000
1784799345.413517998,cpu,production-service-production-service-1,21.36,91.8
1784799345.413517998,db,production,7,50000
1784799348.491775072,cpu,production-service-production-service-1,15.35,91.9
1784799348.491775072,db,production,7,50000
1784799351.571915452,cpu,production-service-production-service-1,17.52,93.8
1784799351.571915452,db,production,7,50000
1784799354.656220154,cpu,production-service-production-service-1,14.90,95.4
1784799354.656220154,db,production,3,50000
1784799357.740135244,cpu,production-service-production-service-1,15.19,95.0
1784799357.740135244,db,production,7,50000
1784799360.815564286,cpu,production-service-production-service-1,19.58,94.5
1784799360.815564286,db,production,5,50000
1784799363.898810139,cpu,production-service-production-service-1,15.82,92.7
1784799363.898810139,db,production,7,50000
1784799366.986590958,cpu,production-service-production-service-1,15.49,93.0
1784799366.986590958,db,production,5,50000
1784799370.067240980,cpu,production-service-production-service-1,16.27,92.9
1784799370.067240980,db,production,5,50000
1784799373.158716505,cpu,production-service-production-service-1,15.59,94.4
1784799373.158716505,db,production,7,50000
1784799376.239870358,cpu,production-service-production-service-1,20.83,92.5
1784799376.239870358,db,production,5,50000
1784799379.326769291,cpu,production-service-production-service-1,15.10,93.8
1784799379.326769291,db,production,5,50000
1784799382.411621735,cpu,production-service-production-service-1,14.98,93.9
1784799382.411621735,db,production,5,50000
1784799385.492510920,cpu,production-service-production-service-1,15.15,93.5
1784799385.492510920,db,production,5,50000
1784799388.576565632,cpu,production-service-production-service-1,21.37,91.6
1784799388.576565632,db,production,5,50000
1784799391.657284187,cpu,production-service-production-service-1,17.80,93.0
1784799391.657284187,db,production,5,50000
1784799394.736513306,cpu,production-service-production-service-1,15.36,92.8
1784799394.736513306,db,production,4,50000
1784799397.821053864,cpu,production-service-production-service-1,15.19,93.3
1784799397.821053864,db,production,5,50000
1784799400.905998872,cpu,production-service-production-service-1,15.38,91.9
1784799400.905998872,db,production,5,50000
1784799403.982432061,cpu,production-service-production-service-1,15.69,92.3
1784799403.982432061,db,production,7,50000
1784799407.072597300,cpu,production-service-production-service-1,15.83,92.5
1784799407.072597300,db,production,3,50000
1784799410.147244859,cpu,production-service-production-service-1,14.96,91.8
1784799410.147244859,db,production,3,50000
1784799413.221459147,cpu,production-service-production-service-1,15.10,92.9
1784799413.221459147,db,production,7,50000
1784799416.309033390,cpu,production-service-production-service-1,15.23,94.2
1784799416.309033390,db,production,5,50000
1784799419.391683969,cpu,production-service-production-service-1,15.37,95.1
1784799419.391683969,db,production,3,50000
1784799422.479611503,cpu,production-service-production-service-1,15.37,96.2
