ts_epoch,kind,label,v1,v2
1784798821.322254613,cpu,order-service-order-service-1,0.04,90.4
1784798821.322254613,db,order,3,50000
1784798824.408963961,cpu,order-service-order-service-1,32.59,92.2
1784798824.408963961,db,order,3,50000
1784798827.507187640,cpu,order-service-order-service-1,10.66,92.0
1784798827.507187640,db,order,3,50000
1784798830.592830974,cpu,order-service-order-service-1,12.79,89.1
1784798830.592830974,db,order,3,50000
1784798833.675939592,cpu,order-service-order-service-1,12.66,90.0
1784798833.675939592,db,order,3,50000
1784798836.764144921,cpu,order-service-order-service-1,13.69,90.2
1784798836.764144921,db,order,3,50000
1784798839.844884025,cpu,order-service-order-service-1,21.17,90.9
1784798839.844884025,db,order,3,50000
1784798842.929284722,cpu,order-service-order-service-1,14.32,90.8
1784798842.929284722,db,order,3,50000
1784798846.008956117,cpu,order-service-order-service-1,15.15,91.8
1784798846.008956117,db,order,3,50000
1784798849.099174315,cpu,order-service-order-service-1,13.90,92.3
1784798849.099174315,db,order,3,50000
1784798852.176178758,cpu,order-service-order-service-1,16.56,93.0
1784798852.176178758,db,order,3,50000
1784798855.259165596,cpu,order-service-order-service-1,13.22,92.5
1784798855.259165596,db,order,3,50000
1784798858.345976822,cpu,order-service-order-service-1,14.18,91.0
1784798858.345976822,db,order,3,50000
1784798861.437050093,cpu,order-service-order-service-1,13.69,92.4
1784798861.437050093,db,order,3,50000
1784798864.512793329,cpu,order-service-order-service-1,15.70,92.6
1784798864.512793329,db,order,3,50000
1784798867.601251086,cpu,order-service-order-service-1,14.61,93.5
1784798867.601251086,db,order,3,50000
1784798870.684105409,cpu,order-service-order-service-1,21.06,91.2
1784798870.684105409,db,order,3,50000
1784798873.751564723,cpu,order-service-order-service-1,13.71,91.4
1784798873.751564723,db,order,3,50000
1784798876.824008911,cpu,order-service-order-service-1,14.26,92.1
1784798876.824008911,db,order,3,50000
1784798879.905281353,cpu,order-service-order-service-1,14.72,90.1
1784798879.905281353,db,order,3,50000
1784798882.992176013,cpu,order-service-order-service-1,13.44,91.3
1784798882.992176013,db,order,3,50000
1784798886.077613419,cpu,order-service-order-service-1,20.71,89.5
1784798886.077613419,db,order,3,50000
