ts_epoch,kind,label,v1,v2
1784798821.979421544,cpu,user-service-user-service-1,0.01,85.1
1784798821.979421544,db,user,3,10000
1784798825.091731058,cpu,user-service-user-service-1,8.23,85.7
1784798825.091731058,db,user,5,10000
1784798828.217081700,cpu,user-service-user-service-1,9.45,86.5
1784798828.217081700,db,user,3,10000
1784798831.300609769,cpu,user-service-user-service-1,21.90,85.4
1784798831.300609769,db,user,3,10000
1784798834.404520201,cpu,user-service-user-service-1,8.77,85.9
1784798834.404520201,db,user,3,10000
1784798837.463608095,cpu,user-service-user-service-1,8.79,86.2
1784798837.463608095,db,user,3,10000
1784798840.561373522,cpu,user-service-user-service-1,9.31,86.1
1784798840.561373522,db,user,3,10000
1784798843.651610370,cpu,user-service-user-service-1,9.10,84.0
1784798843.651610370,db,user,3,10000
1784798846.747145182,cpu,user-service-user-service-1,9.17,84.2
1784798846.747145182,db,user,3,10000
1784798849.837027910,cpu,user-service-user-service-1,8.89,84.6
1784798849.837027910,db,user,3,10000
1784798852.935182573,cpu,user-service-user-service-1,9.53,85.1
1784798852.935182573,db,user,5,10000
1784798856.041988332,cpu,user-service-user-service-1,9.12,86.0
1784798856.041988332,db,user,3,10000
1784798859.135099790,cpu,user-service-user-service-1,9.58,86.9
1784798859.135099790,db,user,3,10000
1784798862.235599969,cpu,user-service-user-service-1,22.26,86.0
1784798862.235599969,db,user,3,10000
1784798865.339991276,cpu,user-service-user-service-1,8.81,87.2
1784798865.339991276,db,user,3,10000
1784798868.441184060,cpu,user-service-user-service-1,8.99,86.2
1784798868.441184060,db,user,3,10000
1784798871.548045501,cpu,user-service-user-service-1,10.84,86.1
1784798871.548045501,db,user,3,10000
1784798874.651339105,cpu,user-service-user-service-1,9.36,86.2
1784798874.651339105,db,user,3,10000
1784798877.743081925,cpu,user-service-user-service-1,9.39,86.4
1784798877.743081925,db,user,3,10000
1784798880.836282310,cpu,user-service-user-service-1,10.69,88.7
1784798880.836282310,db,user,3,10000
1784798883.898531346,cpu,user-service-user-service-1,9.31,87.4
1784798883.898531346,db,user,3,10000
1784798886.987806043,cpu,user-service-user-service-1,8.98,87.7
1784798886.987806043,db,user,3,10000
1784798890.077584988,cpu,user-service-user-service-1,9.06,88.0
1784798890.077584988,db,user,3,10000
1784798893.139394903,cpu,user-service-user-service-1,9.06,86.0
1784798893.139394903,db,user,3,10000
1784798896.236255833,cpu,user-service-user-service-1,9.13,86.4
1784798896.236255833,db,user,3,10000
1784798899.351869520,cpu,user-service-user-service-1,9.41,86.3
1784798899.351869520,db,user,5,10000
1784798902.453224752,cpu,user-service-user-service-1,8.94,86.3
1784798902.453224752,db,user,3,10000
1784798905.547667798,cpu,user-service-user-service-1,9.11,86.5
1784798905.547667798,db,user,3,10000
1784798908.651798026,cpu,user-service-user-service-1,8.77,86.7
1784798908.651798026,db,user,3,10000
1784798911.740029471,cpu,user-service-user-service-1,11.26,88.7
1784798911.740029471,db,user,7,10000
1784798914.829939116,cpu,user-service-user-service-1,8.99,88.4
1784798914.829939116,db,user,3,10000
1784798917.939495943,cpu,user-service-user-service-1,8.54,88.6
1784798917.939495943,db,user,5,10000
1784798921.036206747,cpu,user-service-user-service-1,8.88,89.0
1784798921.036206747,db,user,5,10000
1784798924.101776270,cpu,user-service-user-service-1,9.07,88.0
1784798924.101776270,db,user,3,10000
1784798927.212994887,cpu,user-service-user-service-1,9.36,88.2
1784798927.212994887,db,user,3,10000
1784798930.327776683,cpu,user-service-user-service-1,8.61,86.2
1784798930.327776683,db,user,3,10000
1784798933.425370816,cpu,user-service-user-service-1,9.38,86.3
1784798933.425370816,db,user,3,10000
1784798936.511565717,cpu,user-service-user-service-1,9.34,86.5
1784798936.511565717,db,user,3,10000
1784798939.615931879,cpu,user-service-user-service-1,9.41,86.7
1784798939.615931879,db,user,3,10000
1784798942.724037996,cpu,user-service-user-service-1,8.65,86.9
1784798942.724037996,db,user,3,10000
1784798945.809874729,cpu,user-service-user-service-1,9.28,87.2
1784798945.809874729,db,user,3,10000
1784798948.869828596,cpu,user-service-user-service-1,8.93,87.6
1784798948.869828596,db,user,7,10000
1784798951.961780117,cpu,user-service-user-service-1,24.31,86.0
1784798951.961780117,db,user,3,10000
1784798955.056012495,cpu,user-service-user-service-1,9.35,86.3
1784798955.056012495,db,user,5,10000
1784798958.155713088,cpu,user-service-user-service-1,8.78,86.4
1784798958.155713088,db,user,5,10000
1784798961.249843610,cpu,user-service-user-service-1,8.46,86.3
1784798961.249843610,db,user,3,10000
1784798964.353437823,cpu,user-service-user-service-1,9.04,86.6
1784798964.353437823,db,user,3,10000
1784798967.447797762,cpu,user-service-user-service-1,9.48,85.1
1784798967.447797762,db,user,3,10000
1784798970.559674836,cpu,user-service-user-service-1,9.38,85.6
1784798970.559674836,db,user,3,10000
1784798973.649329604,cpu,user-service-user-service-1,7.06,85.9
1784798973.649329604,db,user,3,10000
1784798976.768313010,cpu,user-service-user-service-1,7.62,86.2
1784798976.768313010,db,user,3,10000
1784798979.883578885,cpu,user-service-user-service-1,7.24,86.3
1784798979.883578885,db,user,3,10000
1784798982.991369965,cpu,user-service-user-service-1,6.37,86.6
1784798982.991369965,db,user,3,10000
1784798986.088023961,cpu,user-service-user-service-1,7.94,84.5
1784798986.088023961,db,user,5,10000
1784798989.202063617,cpu,user-service-user-service-1,7.85,85.0
1784798989.202063617,db,user,3,10000
1784798992.310934520,cpu,user-service-user-service-1,8.77,84.9
1784798992.310934520,db,user,3,10000
1784798995.408625501,cpu,user-service-user-service-1,8.03,85.0
1784798995.408625501,db,user,5,10000
