ts_epoch,kind,label,v1,v2
1784800645.412537928,cpu,order-service-order-service-1,0.01,98.5
1784800645.412537928,db,order,3,50000
1784800648.496117593,cpu,order-service-order-service-1,13.03,103.4
1784800648.496117593,db,order,3,50000
1784800651.601815216,cpu,order-service-order-service-1,13.46,102.7
1784800651.601815216,db,order,3,50000
1784800654.682989063,cpu,order-service-order-service-1,14.68,103.9
1784800654.682989063,db,order,3,50000
1784800657.781475570,cpu,order-service-order-service-1,14.65,104.3
1784800657.781475570,db,order,3,50000
1784800660.870043071,cpu,order-service-order-service-1,19.54,102.3
1784800660.870043071,db,order,3,50000
1784800663.955379172,cpu,order-service-order-service-1,13.29,101.7
1784800663.955379172,db,order,3,50000
1784800667.042958300,cpu,order-service-order-service-1,10.23,102.0
1784800667.042958300,db,order,3,50000
1784800670.121332478,cpu,order-service-order-service-1,10.43,101.8
1784800670.121332478,db,order,3,50000
1784800673.205995699,cpu,order-service-order-service-1,11.04,102.7
1784800673.205995699,db,order,3,50000
1784800676.291150391,cpu,order-service-order-service-1,10.60,102.9
1784800676.291150391,db,order,3,50000
1784800679.374205812,cpu,order-service-order-service-1,12.98,102.3
1784800679.374205812,db,order,3,50000
1784800682.460071768,cpu,order-service-order-service-1,9.18,100.9
1784800682.460071768,db,order,3,50000
1784800685.540544494,cpu,order-service-order-service-1,9.50,102.2
1784800685.540544494,db,order,3,50000
1784800688.629328194,cpu,order-service-order-service-1,9.32,102.0
1784800688.629328194,db,order,3,50000
1784800691.710403823,cpu,order-service-order-service-1,10.72,101.9
1784800691.710403823,db,order,3,50000
1784800694.781431734,cpu,order-service-order-service-1,10.32,102.4
1784800694.781431734,db,order,3,50000
1784800697.874875658,cpu,order-service-order-service-1,15.39,98.9
1784800697.874875658,db,order,3,50000
1784800700.958207526,cpu,order-service-order-service-1,12.35,104.5
1784800700.958207526,db,order,3,50000
1784800704.039424952,cpu,order-service-order-service-1,11.56,104.9
1784800704.039424952,db,order,3,50000
1784800707.124800424,cpu,order-service-order-service-1,11.11,104.9
1784800707.124800424,db,order,3,50000
1784800710.206313542,cpu,order-service-order-service-1,13.16,105.1
1784800710.206313542,db,order,3,50000
1784800713.300347518,cpu,order-service-order-service-1,9.42,102.5
1784800713.300347518,db,order,3,50000
1784800716.385842145,cpu,order-service-order-service-1,11.24,102.9
1784800716.385842145,db,order,3,50000
1784800719.472067681,cpu,order-service-order-service-1,12.69,103.1
1784800719.472067681,db,order,3,50000
1784800722.555821779,cpu,order-service-order-service-1,11.60,103.0
1784800722.555821779,db,order,3,50000
1784800725.643452872,cpu,order-service-order-service-1,9.26,103.2
1784800725.643452872,db,order,3,50000
1784800728.730290468,cpu,order-service-order-service-1,9.39,103.8
1784800728.730290468,db,order,3,50000
1784800731.811862740,cpu,order-service-order-service-1,9.82,104.0
1784800731.811862740,db,order,3,50000
1784800734.893148212,cpu,order-service-order-service-1,11.05,105.3
1784800734.893148212,db,order,3,50000
1784800737.976363985,cpu,order-service-order-service-1,17.31,104.7
1784800737.976363985,db,order,3,50000
1784800741.061165812,cpu,order-service-order-service-1,10.40,101.9
1784800741.061165812,db,order,3,50000
1784800744.151832556,cpu,order-service-order-service-1,12.49,102.3
1784800744.151832556,db,order,3,50000
1784800747.242033393,cpu,order-service-order-service-1,9.01,102.0
1784800747.242033393,db,order,3,50000
1784800750.334355689,cpu,order-service-order-service-1,12.94,103.0
1784800750.334355689,db,order,3,50000
1784800753.418489571,cpu,order-service-order-service-1,11.09,103.7
1784800753.418489571,db,order,3,50000
1784800756.513236945,cpu,order-service-order-service-1,10.84,103.4
1784800756.513236945,db,order,3,50000
1784800759.596510551,cpu,order-service-order-service-1,20.40,101.9
1784800759.596510551,db,order,3,50000
1784800762.690920340,cpu,order-service-order-service-1,9.84,102.4
1784800762.690920340,db,order,3,50000
