zt-php-worker  | [perf-saga-complete] ts=1777537316.419984 orderId=15dcb04b-1dcd-48af-9e36-3be8e21b62e4
zt-php-worker  | [perf-saga-step1] ts=1777537316.442366 orderId=0a33f9a9-eca6-4451-b37b-761661675f60 traceId=exp-perf10000-000041-2f291979
zt-php-worker  | [perf-saga-complete] ts=1777537316.532796 orderId=8661b787-994c-4c99-9a63-a4da94ebdb40
zt-php-worker  | [perf-saga-step1] ts=1777537316.556906 orderId=1a81a7f9-2d67-4503-b07d-b9239b43471f traceId=exp-perf10000-000043-47ee8166
zt-php-worker  | [perf-saga-complete] ts=1777537316.650391 orderId=329b1711-ec21-4c1e-9240-de4fb57c5446
zt-php-worker  | [perf-saga-step1] ts=1777537316.672046 orderId=b88ff474-bc7e-4925-a4e7-c9053d0d4d28 traceId=exp-perf10000-000046-97e1c5fb
zt-php-worker  | [perf-saga-complete] ts=1777537316.765346 orderId=886da3a8-790c-45b7-a1d1-853e6e4a550e
zt-php-worker  | [perf-saga-step1] ts=1777537316.786938 orderId=1c300a31-e984-4f1d-914c-a0ddec9737b2 traceId=exp-perf10000-000049-66e58db2
zt-php-worker  | [perf-saga-complete] ts=1777537316.875613 orderId=0a33f9a9-eca6-4451-b37b-761661675f60
zt-php-worker  | [perf-saga-step1] ts=1777537316.897404 orderId=6d4c7843-23b1-4708-84a0-4e1828f96fad traceId=exp-perf10000-000022-810992cc
zt-php-worker  | [perf-saga-complete] ts=1777537316.997645 orderId=1a81a7f9-2d67-4503-b07d-b9239b43471f
zt-php-worker  | [perf-saga-step1] ts=1777537317.019025 orderId=1f5deb8b-c63c-45fc-8723-a4174dd51bf9 traceId=exp-perf10000-000045-a0089fe8
zt-php-worker  | [perf-saga-complete] ts=1777537317.106767 orderId=b88ff474-bc7e-4925-a4e7-c9053d0d4d28
zt-php-worker  | [perf-saga-step1] ts=1777537317.129802 orderId=7afb2610-cfb6-4aa2-8991-4e9a3c6c0f29 traceId=exp-perf10000-000047-8a842353
zt-php-worker  | [perf-saga-complete] ts=1777537317.237853 orderId=1c300a31-e984-4f1d-914c-a0ddec9737b2
zt-php-worker  | [perf-saga-step1] ts=1777537317.259475 orderId=aa1cdb72-7619-459e-90d0-78f55764e5a9 traceId=exp-perf10000-000021-72bdcb59
zt-php-worker  | [perf-saga-complete] ts=1777537317.349787 orderId=6d4c7843-23b1-4708-84a0-4e1828f96fad
zt-php-worker  | [perf-saga-step1] ts=1777537317.372346 orderId=db9a1df1-1bad-4598-bb59-f6496cccf06c traceId=exp-perf10000-000019-2d2f2052
zt-php-worker  | [perf-saga-complete] ts=1777537317.461391 orderId=1f5deb8b-c63c-45fc-8723-a4174dd51bf9
zt-php-worker  | [perf-saga-step1] ts=1777537317.502599 orderId=9475dc0f-9058-4a83-8739-b3f749feaa42 traceId=exp-perf10000-000044-1913f866
zt-php-worker  | [perf-saga-complete] ts=1777537317.598611 orderId=7afb2610-cfb6-4aa2-8991-4e9a3c6c0f29
zt-php-worker  | [perf-saga-step1] ts=1777537317.620311 orderId=7aacf091-b839-44e0-b952-e9d4f94fd24a traceId=exp-perf10000-000066-2b6757ca
zt-php-worker  | [perf-saga-complete] ts=1777537317.710480 orderId=aa1cdb72-7619-459e-90d0-78f55764e5a9
zt-php-worker  | [perf-saga-step1] ts=1777537317.731815 orderId=a8e649b2-bb4d-4a1c-ad2c-acd90b9652ad traceId=exp-perf10000-000020-7d2b8ecb
zt-php-worker  | [perf-saga-complete] ts=1777537317.838517 orderId=db9a1df1-1bad-4598-bb59-f6496cccf06c
zt-php-worker  | [perf-saga-step1] ts=1777537317.870300 orderId=11a50f67-3c11-4553-a466-c1e390f6fdac traceId=exp-perf10000-000018-a88b1b79
zt-php-worker  | [perf-saga-complete] ts=1777537317.970739 orderId=9475dc0f-9058-4a83-8739-b3f749feaa42
zt-php-worker  | [perf-saga-step1] ts=1777537317.993497 orderId=e2a12edb-0e25-4032-bdf0-27545319c0d4 traceId=exp-perf10000-000026-504af704
zt-php-worker  | [perf-saga-complete] ts=1777537318.085846 orderId=7aacf091-b839-44e0-b952-e9d4f94fd24a
zt-php-worker  | [perf-saga-step1] ts=1777537318.108189 orderId=c8f54922-01a2-4e34-bc3b-d3d12dba6990 traceId=exp-perf10000-000031-bf93bc66
zt-php-worker  | [perf-saga-complete] ts=1777537318.201916 orderId=a8e649b2-bb4d-4a1c-ad2c-acd90b9652ad
zt-php-worker  | [perf-saga-step1] ts=1777537318.223951 orderId=01707124-4b55-4735-bc8d-22b506429b74 traceId=exp-perf10000-000017-d3c19b71
zt-php-worker  | [perf-saga-complete] ts=1777537318.319469 orderId=11a50f67-3c11-4553-a466-c1e390f6fdac
zt-php-worker  | [perf-saga-step1] ts=1777537318.346435 orderId=6c545d4b-677f-41eb-84d2-da4062b3af7b traceId=exp-perf10000-000039-1f20785e
zt-php-worker  | [perf-saga-complete] ts=1777537318.438792 orderId=e2a12edb-0e25-4032-bdf0-27545319c0d4
zt-php-worker  | [perf-saga-step1] ts=1777537318.461617 orderId=6a7f816c-50ee-4605-a9c6-dc1ce494d427 traceId=exp-perf10000-000075-99e755d7
zt-php-worker  | [perf-saga-complete] ts=1777537318.559332 orderId=c8f54922-01a2-4e34-bc3b-d3d12dba6990
zt-php-worker  | [perf-saga-step1] ts=1777537318.582536 orderId=9f8d3e88-e63e-46b5-b2b4-e91c4cce2c46 traceId=exp-perf10000-000048-af0ea9fd
zt-php-worker  | [perf-saga-complete] ts=1777537318.672903 orderId=01707124-4b55-4735-bc8d-22b506429b74
zt-php-worker  | [perf-saga-step1] ts=1777537318.694055 orderId=0587b317-0d15-4f5b-bd72-0f3d09afb61d traceId=exp-perf10000-000081-e30a6202
zt-php-worker  | [perf-saga-complete] ts=1777537318.798848 orderId=6c545d4b-677f-41eb-84d2-da4062b3af7b
zt-php-worker  | [perf-saga-step1] ts=1777537318.821633 orderId=e0e30f1c-a002-4aa5-938d-0eae15a4893c traceId=exp-perf10000-000074-8280c0f5
zt-php-worker  | [perf-saga-complete] ts=1777537318.931392 orderId=6a7f816c-50ee-4605-a9c6-dc1ce494d427
zt-php-worker  | [perf-saga-step1] ts=1777537318.960025 orderId=9c4b586c-1da6-4617-904a-f985a9940081 traceId=exp-perf10000-000079-060ba15d
zt-php-worker  | [perf-saga-complete] ts=1777537319.089837 orderId=9f8d3e88-e63e-46b5-b2b4-e91c4cce2c46
zt-php-worker  | [perf-saga-step1] ts=1777537319.119042 orderId=67f489f9-fed7-4f52-bf3f-63e7ae7331a2 traceId=exp-perf10000-000073-f1c02ae6
zt-php-worker  | [perf-saga-complete] ts=1777537319.246628 orderId=0587b317-0d15-4f5b-bd72-0f3d09afb61d
zt-php-worker  | [perf-saga-step1] ts=1777537319.270865 orderId=25552a7f-39cf-40b4-99fb-6b0ef5c8c762 traceId=exp-perf10000-000037-999b8d41
zt-php-worker  | [perf-saga-complete] ts=1777537319.370813 orderId=e0e30f1c-a002-4aa5-938d-0eae15a4893c
zt-php-worker  | [perf-saga-step1] ts=1777537319.394435 orderId=c7561633-dc02-45e9-94db-c72e2313d619 traceId=exp-perf10000-000035-19c425dd
zt-php-worker  | [perf-saga-complete] ts=1777537319.498193 orderId=9c4b586c-1da6-4617-904a-f985a9940081
zt-php-worker  | [perf-saga-step1] ts=1777537319.525730 orderId=b9929cba-0fdb-4691-a77d-e63f4aabc787 traceId=exp-perf10000-000085-ea2b4e12
zt-php-worker  | [perf-saga-complete] ts=1777537319.669015 orderId=67f489f9-fed7-4f52-bf3f-63e7ae7331a2
zt-php-worker  | [perf-saga-step1] ts=1777537319.702869 orderId=a30f5b76-87a1-4287-9dbc-5c959089f47d traceId=exp-perf10000-000093-2a069068
zt-php-worker  | [perf-saga-complete] ts=1777537319.826720 orderId=25552a7f-39cf-40b4-99fb-6b0ef5c8c762
zt-php-worker  | [perf-saga-step1] ts=1777537319.849417 orderId=65bfcf60-d884-423a-946d-60b56581919f traceId=exp-perf10000-000036-231b1527
zt-php-worker  | [perf-saga-complete] ts=1777537319.945759 orderId=c7561633-dc02-45e9-94db-c72e2313d619
zt-php-worker  | [perf-saga-step1] ts=1777537319.970072 orderId=3d0bb1a3-a51f-495e-b1b0-5032c63ae2fe traceId=exp-perf10000-000092-4147b0b7
zt-php-worker  | [perf-saga-complete] ts=1777537320.067862 orderId=b9929cba-0fdb-4691-a77d-e63f4aabc787
zt-php-worker  | [perf-saga-step1] ts=1777537320.105492 orderId=8ca4153e-409b-46ec-b9dd-8b9c6d91860b traceId=exp-perf10000-000084-a60cd305
zt-php-worker  | [perf-saga-complete] ts=1777537320.200313 orderId=a30f5b76-87a1-4287-9dbc-5c959089f47d
zt-php-worker  | [perf-saga-step1] ts=1777537320.223519 orderId=874e0f70-bf3c-440b-8e2e-1885e8606017 traceId=exp-perf10000-000069-0ee7e329
zt-php-worker  | [perf-saga-complete] ts=1777537320.313358 orderId=65bfcf60-d884-423a-946d-60b56581919f
zt-php-worker  | [perf-saga-step1] ts=1777537320.335800 orderId=1732f458-7c3b-4e1d-b494-05807732a346 traceId=exp-perf10000-000072-c75ce60d
zt-php-worker  | [perf-saga-complete] ts=1777537320.429449 orderId=3d0bb1a3-a51f-495e-b1b0-5032c63ae2fe
zt-php-worker  | [perf-saga-step1] ts=1777537320.451046 orderId=55cc6fdc-69e8-427b-89c4-39fd2105cf1a traceId=exp-perf10000-000065-2ed29d15
zt-php-worker  | [perf-saga-complete] ts=1777537320.546510 orderId=8ca4153e-409b-46ec-b9dd-8b9c6d91860b
zt-php-worker  | [perf-saga-step1] ts=1777537320.568226 orderId=73956bd3-38bc-4a09-9376-268d3e193726 traceId=exp-perf10000-000053-0bbee259
zt-php-worker  | [perf-saga-complete] ts=1777537320.658392 orderId=874e0f70-bf3c-440b-8e2e-1885e8606017
zt-php-worker  | [perf-saga-step1] ts=1777537320.680790 orderId=0e287de5-090f-4c72-a7c5-6eeb111a586f traceId=exp-perf10000-000067-4fe04dec
zt-php-worker  | [perf-saga-complete] ts=1777537320.772265 orderId=1732f458-7c3b-4e1d-b494-05807732a346
zt-php-worker  | [perf-saga-step1] ts=1777537320.796399 orderId=e3fd97ef-dc0a-48da-82d4-bcbae1fb51ea traceId=exp-perf10000-000071-02d28ccb
zt-php-worker  | [perf-saga-complete] ts=1777537320.886785 orderId=55cc6fdc-69e8-427b-89c4-39fd2105cf1a
zt-php-worker  | [perf-saga-step1] ts=1777537320.915884 orderId=3bdd1496-f11e-4e54-a646-b4e986fc3d58 traceId=exp-perf10000-000063-b82ca6f9
zt-php-worker  | [perf-saga-complete] ts=1777537321.063417 orderId=73956bd3-38bc-4a09-9376-268d3e193726
zt-php-worker  | [perf-saga-step1] ts=1777537321.086641 orderId=4ac96420-4229-46bd-951b-2e3a25b37361 traceId=exp-perf10000-000052-35162e82
zt-php-worker  | [perf-saga-complete] ts=1777537321.178361 orderId=0e287de5-090f-4c72-a7c5-6eeb111a586f
zt-php-worker  | [perf-saga-step1] ts=1777537321.205793 orderId=40771a6a-1975-4b01-873f-ece7edf8e1e3 traceId=exp-perf10000-000062-ca077a06
zt-php-worker  | [perf-saga-complete] ts=1777537321.330919 orderId=e3fd97ef-dc0a-48da-82d4-bcbae1fb51ea
zt-php-worker  | [perf-saga-step1] ts=1777537321.352790 orderId=6e4af87b-25df-48d0-80c7-daa6aee85344 traceId=exp-perf10000-000070-07c27024
zt-php-worker  | [perf-saga-complete] ts=1777537321.445899 orderId=3bdd1496-f11e-4e54-a646-b4e986fc3d58
zt-php-worker  | [perf-saga-step1] ts=1777537321.467286 orderId=1aa01e13-ffca-436c-a782-2e02e66139a2 traceId=exp-perf10000-000059-8d7177ee
zt-php-worker  | [perf-saga-complete] ts=1777537321.559195 orderId=4ac96420-4229-46bd-951b-2e3a25b37361
zt-php-worker  | [perf-saga-step1] ts=1777537321.581459 orderId=691a40db-3b6b-4696-b88b-b74862ab02da traceId=exp-perf10000-000068-ca0d8f26
zt-php-worker  | [perf-saga-complete] ts=1777537321.671745 orderId=40771a6a-1975-4b01-873f-ece7edf8e1e3
zt-php-worker  | [perf-saga-step1] ts=1777537321.697884 orderId=1fbabf19-2f4f-4150-82ba-8584276fae86 traceId=exp-perf10000-000056-7d53adfe
zt-php-worker  | [perf-saga-complete] ts=1777537321.792581 orderId=6e4af87b-25df-48d0-80c7-daa6aee85344
zt-php-worker  | [perf-saga-step1] ts=1777537321.814463 orderId=e0671770-c80a-4a46-9541-ad3c56b91f5b traceId=exp-perf10000-000099-e14e2d4d
zt-php-worker  | [perf-saga-complete] ts=1777537321.904867 orderId=1aa01e13-ffca-436c-a782-2e02e66139a2
zt-php-worker  | [perf-saga-step1] ts=1777537321.927493 orderId=eecd271b-4588-46c7-b19c-9afa73d4f9b1 traceId=exp-perf10000-000055-c35584c8
zt-php-worker  | [perf-saga-complete] ts=1777537322.019527 orderId=691a40db-3b6b-4696-b88b-b74862ab02da
zt-php-worker  | [perf-saga-step1] ts=1777537322.042226 orderId=07fd57dd-2771-42ed-b092-30d4663284a8 traceId=exp-perf10000-000064-a00cee69
zt-php-worker  | [perf-saga-complete] ts=1777537322.137761 orderId=1fbabf19-2f4f-4150-82ba-8584276fae86
zt-php-worker  | [perf-saga-step1] ts=1777537322.161118 orderId=ac0049d4-bc4b-4c12-9abe-11cf384c4c6c traceId=exp-perf10000-000097-6d59a894
zt-php-worker  | [perf-saga-complete] ts=1777537322.251702 orderId=e0671770-c80a-4a46-9541-ad3c56b91f5b
zt-php-worker  | [perf-saga-step1] ts=1777537322.274423 orderId=cda0f054-f42e-42d3-9909-08e39e9eab8a traceId=exp-perf10000-000098-1aab4a2e
zt-php-worker  | [perf-saga-complete] ts=1777537322.366141 orderId=eecd271b-4588-46c7-b19c-9afa73d4f9b1
zt-php-worker  | [perf-saga-step1] ts=1777537322.390934 orderId=a5b604d5-2a8a-42fd-9671-cef9c189ade4 traceId=exp-perf10000-000050-54181145
zt-php-worker  | [perf-saga-complete] ts=1777537322.483407 orderId=07fd57dd-2771-42ed-b092-30d4663284a8
zt-php-worker  | [perf-saga-step1] ts=1777537322.506033 orderId=ef85f208-2994-4313-b9da-48b352d89a88 traceId=exp-perf10000-000061-28b4bf56
zt-php-worker  | [perf-saga-complete] ts=1777537322.599304 orderId=ac0049d4-bc4b-4c12-9abe-11cf384c4c6c
zt-php-worker  | [perf-saga-step1] ts=1777537322.622172 orderId=fb665ae4-5989-437d-9704-26c4a0a11a3d traceId=exp-perf10000-000014-58e08e4e
zt-php-worker  | [perf-saga-complete] ts=1777537322.721862 orderId=cda0f054-f42e-42d3-9909-08e39e9eab8a
zt-php-worker  | [perf-saga-step1] ts=1777537322.745249 orderId=0ef374d6-973b-4bed-871a-67b258cee576 traceId=exp-perf10000-000060-409878f5
zt-php-worker  | [perf-saga-complete] ts=1777537322.835072 orderId=a5b604d5-2a8a-42fd-9671-cef9c189ade4
zt-php-worker  | [perf-saga-step1] ts=1777537322.858093 orderId=8c74436e-ecd7-459f-8f15-c318624739c2 traceId=exp-perf10000-000013-dc626dc5
zt-php-worker  | [perf-saga-complete] ts=1777537322.948567 orderId=ef85f208-2994-4313-b9da-48b352d89a88
zt-php-worker  | [perf-saga-step1] ts=1777537322.971308 orderId=910ed2f5-fc0f-4c84-9f99-2a11727442a5 traceId=exp-perf10000-000058-55f08ccd
zt-php-worker  | [perf-saga-complete] ts=1777537323.070472 orderId=fb665ae4-5989-437d-9704-26c4a0a11a3d
zt-php-worker  | [perf-saga-step1] ts=1777537323.095621 orderId=fdebdb59-69a1-4348-ba77-9539a44aabac traceId=exp-perf10000-000011-fe77647a
zt-php-worker  | [perf-saga-complete] ts=1777537323.204087 orderId=0ef374d6-973b-4bed-871a-67b258cee576
zt-php-worker  | [perf-saga-step1] ts=1777537323.230833 orderId=7edec5d8-c54f-463d-bda9-0642929e71a1 traceId=exp-perf10000-000057-f4538c9a
zt-php-worker  | [perf-saga-complete] ts=1777537323.324664 orderId=8c74436e-ecd7-459f-8f15-c318624739c2
zt-php-worker  | [perf-saga-step1] ts=1777537323.347470 orderId=948e62f7-4c69-4039-b3a1-ae16348a9403 traceId=exp-perf10000-000078-0bf24ec9
zt-php-worker  | [perf-saga-complete] ts=1777537323.439327 orderId=910ed2f5-fc0f-4c84-9f99-2a11727442a5
zt-php-worker  | [perf-saga-step1] ts=1777537323.462293 orderId=f2e0adaf-3bec-42a6-8447-22d81389cde5 traceId=exp-perf10000-000080-dab4f39d
zt-php-worker  | [perf-saga-complete] ts=1777537323.553422 orderId=fdebdb59-69a1-4348-ba77-9539a44aabac
zt-php-worker  | [perf-saga-step1] ts=1777537323.576819 orderId=8d45c9af-e170-4869-8e70-3bcce360f488 traceId=exp-perf10000-000076-2dcc574b
zt-php-worker  | [perf-saga-complete] ts=1777537323.669225 orderId=7edec5d8-c54f-463d-bda9-0642929e71a1
zt-php-worker  | [perf-saga-step1] ts=1777537323.692061 orderId=99873df7-2891-4614-a024-4b05098b9607 traceId=exp-perf10000-000083-0fca1012
zt-php-worker  | [perf-saga-complete] ts=1777537323.785891 orderId=948e62f7-4c69-4039-b3a1-ae16348a9403
zt-php-worker  | [perf-saga-step1] ts=1777537323.809279 orderId=8ee83d41-d487-4a65-a5a6-19f16b459dc5 traceId=exp-perf10000-000088-03f92a41
zt-php-worker  | [perf-saga-complete] ts=1777537323.900912 orderId=f2e0adaf-3bec-42a6-8447-22d81389cde5
zt-php-worker  | [perf-saga-step1] ts=1777537323.923721 orderId=66b07956-cb88-4974-9da9-bea42fb79b0c traceId=exp-perf10000-000082-abd1c16b
zt-php-worker  | [perf-saga-complete] ts=1777537324.021870 orderId=8d45c9af-e170-4869-8e70-3bcce360f488
zt-php-worker  | [perf-saga-step1] ts=1777537324.055019 orderId=45d1fc4f-ae62-468c-b84e-318441f17dae traceId=exp-perf10000-000090-73994148
zt-php-worker  | [perf-saga-complete] ts=1777537324.157172 orderId=99873df7-2891-4614-a024-4b05098b9607
zt-php-worker  | [perf-saga-step1] ts=1777537324.183437 orderId=b37e137e-5ce8-447f-8358-d31b070eac44 traceId=exp-perf10000-000051-e4a2169e
zt-php-worker  | [perf-saga-complete] ts=1777537324.295586 orderId=8ee83d41-d487-4a65-a5a6-19f16b459dc5
zt-php-worker  | [perf-saga-step1] ts=1777537324.324404 orderId=3f292b32-c744-4d2e-b190-e5e88f473736 traceId=exp-perf10000-000089-7c6f2c7f
zt-php-worker  | [perf-saga-complete] ts=1777537324.419938 orderId=66b07956-cb88-4974-9da9-bea42fb79b0c
zt-php-worker  | [perf-saga-step1] ts=1777537324.444842 orderId=cd10e671-7633-4888-a50a-9b5dcef89337 traceId=exp-perf10000-000096-4de37017
zt-php-worker  | [perf-saga-complete] ts=1777537324.539198 orderId=45d1fc4f-ae62-468c-b84e-318441f17dae
zt-php-worker  | [perf-saga-step1] ts=1777537324.562386 orderId=3037af32-cb70-47f6-9598-d5060bdfa015 traceId=exp-perf10000-000054-3fa1cf00
zt-php-worker  | [perf-saga-complete] ts=1777537324.654603 orderId=b37e137e-5ce8-447f-8358-d31b070eac44
zt-php-worker  | [perf-saga-step1] ts=1777537324.677977 orderId=1c9d8344-e0b3-4b05-8b43-da75e479fcfe traceId=exp-perf10000-000016-6b723e00
zt-php-worker  | [perf-saga-complete] ts=1777537324.771467 orderId=3f292b32-c744-4d2e-b190-e5e88f473736
zt-php-worker  | [perf-saga-step1] ts=1777537324.794830 orderId=a7edc0e6-0fda-4b9f-a869-238c139b2b05 traceId=exp-perf10000-000094-e8457044
zt-php-worker  | [perf-saga-complete] ts=1777537324.898944 orderId=cd10e671-7633-4888-a50a-9b5dcef89337
zt-php-worker  | [perf-saga-step1] ts=1777537324.932318 orderId=cf29cb38-3758-4488-b685-a9f8b565f2c6 traceId=exp-perf10000-000015-fd7b0b3a
zt-php-worker  | [perf-saga-complete] ts=1777537325.049014 orderId=3037af32-cb70-47f6-9598-d5060bdfa015
zt-php-worker  | [perf-saga-step1] ts=1777537325.076734 orderId=cd8116d6-50e3-4abe-ab14-b6f370b87df2 traceId=exp-perf10000-000091-ce5e46fd
zt-php-worker  | [perf-saga-complete] ts=1777537325.175642 orderId=1c9d8344-e0b3-4b05-8b43-da75e479fcfe
zt-php-worker  | [perf-saga-step1] ts=1777537325.204829 orderId=5d59dfcb-035c-46ce-9749-e32025074478 traceId=exp-perf10000-000012-c050da4a
zt-php-worker  | [perf-saga-complete] ts=1777537325.296999 orderId=a7edc0e6-0fda-4b9f-a869-238c139b2b05
zt-php-worker  | [perf-saga-step1] ts=1777537325.319962 orderId=47928d15-e502-4226-a7d1-0a6afa245414 traceId=exp-perf10000-000095-f63697a2
zt-php-worker  | [perf-saga-complete] ts=1777537325.412881 orderId=cf29cb38-3758-4488-b685-a9f8b565f2c6
zt-php-worker  | [perf-saga-step1] ts=1777537325.435692 orderId=dea76ac7-d575-4bad-a7dd-ec4ea1b41d53 traceId=exp-perf10000-000077-acb4d1e2
zt-php-worker  | [perf-saga-complete] ts=1777537325.526426 orderId=cd8116d6-50e3-4abe-ab14-b6f370b87df2
zt-php-worker  | [perf-saga-step1] ts=1777537325.549467 orderId=b84ad7e0-e483-4b36-bfdd-00307ed96319 traceId=exp-perf10000-000100-14097dd6
zt-php-worker  | [perf-saga-complete] ts=1777537325.641233 orderId=5d59dfcb-035c-46ce-9749-e32025074478
